date,actual,Naive,Seasonal Naive,Best ARIMA,Best ARIMAX,Best SARIMA,Best GARMA,Best GARMAX,Best SARIMAX
2025-04-26,76944.65162501,71629.25720833,74816.18320834,79648.0263859704,73721.01170876736,70509.49560496905,72694.42134950047,76451.87956092636,65901.23183109748
2025-04-27,70497.94220833,71629.25720833,70248.53175001,79658.66201538315,68091.24281091441,64933.223824304856,72647.83188794738,70254.5258534121,59743.27208039122
2025-04-28,82217.666875,71629.25720833,74499.63329166,79669.2976447959,77620.7203550975,75443.8066012548,72662.86941812924,80976.48462846015,69981.00384800063
2025-04-29,82016.83695833001,71629.25720833,71629.25720833,79679.93327420864,79129.63396654064,77007.43917434048,72726.41062293225,83025.96116846077,71430.66872161777
2025-04-30,80085.15020833,71629.25720833,66416.57704167,79690.56890362139,77387.84842696862,76882.48659208626,72795.29190537294,81277.2993250791,69876.81502514204
2025-05-01,71618.09645833,71629.25720833,75394.72508333,79701.20453303414,70882.25095755412,77294.92868875478,72821.72969699925,74017.75519761303,63024.78819217591
2025-05-02,75386.46670833,71629.25720833,77224.80237501,79711.84016244688,76524.66436232804,76720.75217562034,72788.21043860597,79692.54406245353,68338.72316461634
2025-05-03,71415.56104167001,71629.25720833,74816.18320834,79722.47579185963,72541.01112950464,70438.93619353649,72722.17778461274,73610.17565447236,63405.8028100036
2025-05-04,67201.89254167001,71629.25720833,70248.53175001,79733.11142127238,66918.45488377837,64862.69828470063,72671.0402476571,67599.89734339222,57247.74655877842
2025-05-05,78401.47454166,71629.25720833,74499.63329166,79743.74705068512,76455.65395020971,75373.31493347892,72666.63607133864,78369.83231947458,67485.90974709355
2025-05-06,80558.94758333,71629.25720833,71629.25720833,79754.38268009787,77972.78177654668,76936.98137839296,72709.10722543813,80243.44697217109,68936.52573007607
2025-05-07,81607.15766667001,71629.25720833,66416.57704167,79765.01830951062,78216.01502130595,76812.06266796708,72768.78792169249,80503.95462300256,69078.83640803542
2025-05-08,82149.02658333,71629.25720833,75394.72508333,79775.65393892337,78090.44994909423,77224.53863646394,72804.22721632286,79689.18210939664,68969.69902625521
2025-05-09,83513.14508332999,71629.25720833,77224.80237501,79786.28956833611,77521.4881572335,76650.39599515784,72791.3858934849,79056.76203497507,68364.73184865026
2025-05-10,76262.06474999999,71629.25720833,74816.18320834,79796.92519774886,71858.96084790236,70368.61388490234,72742.21007323592,72912.17519776631,62038.34008634853
2025-05-11,67369.17954167,71629.25720833,70248.53175001,79807.56082716161,66246.82729513328,64792.40984789483,72692.80369129003,66859.01251419848,55883.70118206888
2025-05-12,76882.14266665999,71629.25720833,74499.63329166,79818.19645657435,75794.83789574393,75303.06036850146,72675.51236494737,77446.65540348025,66125.74705750564
2025-05-13,78478.538125,71629.25720833,71629.25720833,79828.8320859871,77323.14806171166,76866.76068524385,72699.7602914591,79214.73198248407,67580.70136710811
2025-05-14,77623.19595833,71629.25720833,66416.57704167,79839.46771539985,77577.91632206374,76741.87584664632,72747.84554896453,79568.18830028873,67727.79617754216
2025-05-15,77689.29291667,71629.25720833,75394.72508333,79850.1033448126,77464.2207599638,77154.38568697152,72786.13024747114,79455.390911884,67623.8787856705
2025-05-16,77995.47879165999,71629.25720833,77224.80237501,79860.73897422534,76907.44478044116,76580.27691749377,72788.34742348205,78929.82636663191,67024.55740996587
2025-05-17,73242.63445833,71629.25720833,74816.18320834,79871.37460363809,71257.40142287148,70298.52867906661,72755.12833281618,72876.27319010659,60704.22713638096
2025-05-18,67935.484,71629.25720833,70248.53175001,79882.01023305084,65658.03186744908,64722.35851388745,72711.51915141595,66897.9351784257,54556.05521951286
2025-05-19,78950.71991665999,71629.25720833,74499.63329166,79892.64586246359,75219.06852463154,75233.04290632243,72687.02654728085,77569.3925740719,64804.96334624112
2025-05-20,80426.49729166,71629.25720833,71629.25720833,79903.28149187633,76760.64896497258,76796.77709489316,72696.65086311748,79440.10306851474,66267.1649051987
2025-05-21,80387.24175,71629.25720833,66416.57704167,79913.91712128908,77028.91405732569,76671.92612812397,72732.5323326364,79894.38985899827,66421.88168133529
2025-05-22,80116.40404166,71629.25720833,75394.72508333,79924.55275070183,76928.92444101292,77084.46984027752,72769.25011055528,79891.74493531225,66325.95068838472
